iter	Logloss
0	0.3972443206
1	0.2946041196
2	0.2487983722
3	0.2232738873
4	0.2009332579
5	0.1915428475
6	0.1874780836
7	0.1834799484
8	0.1812686252
9	0.1795713554
10	0.1786828165
11	0.1772969961
12	0.1764777929
13	0.1761777216
14	0.1754752832
15	0.1746912645
16	0.174017301
17	0.1735039955
18	0.172672907
19	0.1722531384
20	0.172103694
21	0.1718702485
22	0.1717718466
23	0.1716124949
24	0.1706088694
25	0.1701213612
26	0.1697627082
27	0.1694012441
28	0.1692769165
29	0.1689985196
30	0.1689204681
31	0.1688218083
32	0.1685700476
33	0.1685088037
34	0.1682526497
35	0.1682009336
36	0.1677950299
37	0.1675218324
38	0.1673790374
39	0.1672235533
40	0.1670457701
41	0.1665695827
42	0.1663205472
43	0.1662024085
44	0.1660526198
45	0.1658861653
46	0.1655381597
47	0.1649928429
48	0.1648661329
49	0.1647194069
